"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Фильтрация товаров по значению A-Z на странице Products","590","checkFilterFunctional","Surefire suite","Mon Jun 16 18:59:54 GMT 2025","passed","Mon Jun 16 18:59:55 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","checkFilterFunctional"
"","2919","Проверка функционала добавления товара в корзину","Surefire suite","Mon Jun 16 18:59:48 GMT 2025","passed","Mon Jun 16 18:59:51 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCart"
"Обязательность заполнения поля 'Name' в форме оформления заказа","1","checkRequiredNameField","Surefire suite","Mon Jun 16 18:59:28 GMT 2025","unknown","Mon Jun 16 18:59:28 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkRequiredNameField"
"Логин в систему валидными данными","443","Негативный кейс на проверку логина с невалидным username","Surefire suite","Mon Jun 16 18:59:58 GMT 2025","passed","Mon Jun 16 18:59:59 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginInvalidUsername"
"Логин в систему невалидными данными","441","login","Surefire suite","Mon Jun 16 18:59:56 GMT 2025","passed","Mon Jun 16 18:59:57 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Добавление 3 товаров в корзину со страницы Products","758","add3ProductsInCart","Surefire suite","Mon Jun 16 18:59:53 GMT 2025","passed","Mon Jun 16 18:59:54 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","add3ProductsInCart"
"","618","checkLocatorsProductsPage","Surefire suite","Mon Jun 16 18:59:52 GMT 2025","passed","Mon Jun 16 18:59:53 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocatorsProductsPage"
"","234","checkLocatorsLoginPage","Surefire suite","Mon Jun 16 18:59:52 GMT 2025","passed","Mon Jun 16 18:59:52 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocatorsLoginPage"
"Логин в систему невалидными данными","456","login","Surefire suite","Mon Jun 16 18:59:55 GMT 2025","passed","Mon Jun 16 18:59:56 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","437","Негативный кейс на проверку логина с пустым паролем","Surefire suite","Mon Jun 16 18:59:59 GMT 2025","passed","Mon Jun 16 18:59:59 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyValue"
"Проверка добавления товара в корзину","610","Проверка функционала добавления товара в корзину","Surefire suite","Mon Jun 16 19:00:00 GMT 2025","passed","Mon Jun 16 19:00:00 GMT 2025","tests.AddToCartTest","Surefire test","tests.AddToCartTest","checkAddToCartFunctional"
"Оформление заказа на странице Checkout","0","checkValidDataForm","Surefire suite","Mon Jun 16 18:59:29 GMT 2025","unknown","Mon Jun 16 18:59:29 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkValidDataForm"
"","476","Проверка логина с валидными данными","Surefire suite","Mon Jun 16 18:59:57 GMT 2025","passed","Mon Jun 16 18:59:58 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
